DIM_CLUB_AMENITY.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CLUB_AMENITY.AUDT_USER_ID TEXT
DIM_CLUB_AMENITY.AUDT_SRC_SYS_CODE TEXT
DIM_CLUB_AMENITY.AUDT_BATCH_ID TEXT
DIM_CLUB_CLOSURE.CLUB_SRC_NUM NUMBER
DIM_CLUB_CLOSURE.COVID_CLOSURE_DATE_ID NUMBER
DIM_CLUB_CLOSURE.COVID_REOPENING_DATE_ID NUMBER
DIM_CLUB_MARKET.DIM_CLUB_MARKET_ID NUMBER
DIM_CLUB_MARKET.CLUB_SRC_NUM NUMBER
DIM_CLUB_MARKET.FWO_DATE DATE
DIM_CLUB_MARKET.PRICE_GROUP TEXT
DIM_CLUB_MARKET.STATE TEXT
DIM_CLUB_MARKET.DMA TEXT
DIM_CLUB_MARKET.SILVER TEXT
DIM_CLUB_MARKET.MARKET TEXT
DIM_COMPLIMENTARY_CORPORATE_CODE.CORPORATE_CODE TEXT
DIM_COMPLIMENTARY_CORPORATE_CODE.DESCRIPTION TEXT
DIM_COMPLIMENTARY_CORPORATE_CODE.AUDT_SRC_SYS_CODE TEXT
DIM_COMPLIMENTARY_PROMO_CAMPAIGN.PROMO_CAMPAIGN TEXT
DIM_COMPLIMENTARY_PROMO_CAMPAIGN.DESCRIPTION TEXT
DIM_COMPLIMENTARY_PROMO_CAMPAIGN.AUDT_SRC_SYS_CODE TEXT
DIM_CORPORATE_RATE.ID NUMBER
DIM_CORPORATE_RATE.CORP_CODE TEXT
DIM_CORPORATE_RATE.AGREEMENT_TYPE TEXT
DIM_CORPORATE_RATE.CHECKIN_TYPE TEXT
DIM_CORPORATE_RATE.RATE_AMOUNT FLOAT
DIM_CREDITMEMO.CREDITMEMO_ID TEXT
DIM_CREDITMEMO.CREDITMEMO_SRC_ID TEXT
DIM_CREDITMEMO.SUBSCRIPTION_SRC_NUM TEXT
DIM_CREDITMEMO.CLUB_OF_REVENUE_SRC_NUM TEXT
DIM_CREDITMEMO.INVOICE_NUMBER TEXT
DIM_CREDITMEMO.MEMONUMBER TEXT
DIM_CREDITMEMO.MEMODATE TIMESTAMP_NTZ
DIM_CREDITMEMO.POSTEDON TIMESTAMP_NTZ
DIM_CREDITMEMO.CREATEDDATE TIMESTAMP_NTZ
DIM_CREDITMEMO.REASONCODE TEXT
DIM_CREDITMEMO.STATUS TEXT
DIM_CREDITMEMO.APPLIEDAMOUNT NUMBER
DIM_CREDITMEMO.TAXAMOUNT NUMBER
DIM_CREDITMEMO.DISCOUNTAMOUNT NUMBER
DIM_CREDITMEMO.TOTALAMOUNT NUMBER
DIM_CREDITMEMO.TOTALAMOUNTWITHOUTTAX NUMBER
DIM_CREDITMEMO.BALANCE NUMBER
DIM_CREDITMEMO.ISDELETED TEXT
DIM_CREDITMEMO.UPDATE_SRC_DATE TIMESTAMP_NTZ
DIM_CREDITMEMO.SUBSCRIPTION_STATUS TEXT
DIM_CREDITMEMO.SUBSCRIPTION_TYPE TEXT
DIM_CREDITMEMO.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CREDITMEMO.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CREDITMEMO.AUDT_USER_ID TEXT
DIM_CREDITMEMO.AUDT_SRC_SYS_CODE TEXT
DIM_CREDITMEMO.AUDT_BATCH_ID TEXT
DIM_CRM_METADATA.CRM_METADATA_ID TEXT
DIM_CRM_METADATA.CRM_METADATA_SRC_NUM NUMBER
DIM_CRM_METADATA.CRM_METADATA_TYPE TEXT
DIM_CRM_METADATA.TYPE_DESC TEXT
DIM_CRM_METADATA.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CRM_METADATA.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CRM_METADATA.AUDT_USER_ID TEXT
DIM_CRM_METADATA.AUDT_SRC_SYS_CODE TEXT
DIM_CRM_METADATA.AUDT_BATCH_ID TEXT
DIM_CUSTOMER.CUSTOMER_ID TEXT
DIM_CUSTOMER.CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER.CUSTOMER_SRC_NUM TEXT
DIM_CUSTOMER.CORP_ACCOUNT_SRC_NUM TEXT
DIM_CUSTOMER.EXTERNAL_ID TEXT
DIM_CUSTOMER.PARENT_CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER.CUSTOMER_ACCOUNT_STATUS TEXT
DIM_CUSTOMER.MASTER_ADDON TEXT
DIM_CUSTOMER.ORIGINAL_JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.MIGRATION_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.BILL_CYCLE_DAY NUMBER
DIM_CUSTOMER.LAST_INVOICE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.LAST_PAYMENT_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.PAYMENT_BATCH TEXT
DIM_CUSTOMER.PAYMENT_GATEWAY_NAME TEXT
DIM_CUSTOMER.PAYMENT_PRIORITY TEXT
DIM_CUSTOMER.PAYMENT_TERM TEXT
DIM_CUSTOMER.CREDIT_BALANCE NUMBER
DIM_CUSTOMER.IS_IN_COLLECTIONS BOOLEAN
DIM_CUSTOMER.COLLECTIONS TEXT
DIM_CUSTOMER.COLLECTIONS_AGENT TEXT
DIM_CUSTOMER.CORPORATE_CONTRACT_TYPE TEXT
DIM_CUSTOMER.JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.CORP_BENEFIT_TYPE TEXT
DIM_CUSTOMER.IS_HEALTHCARE BOOLEAN
DIM_CUSTOMER.MEMBER_SINCE_DATE DATE
DIM_CUSTOMER.USERNAME TEXT
DIM_CUSTOMER.CHECKIN_CODE TEXT
DIM_CUSTOMER.DATE_OF_BIRTH TIMESTAMP_NTZ
DIM_CUSTOMER.GENDER TEXT
DIM_CUSTOMER.FIRST_NAME TEXT
DIM_CUSTOMER.LAST_NAME TEXT
DIM_CUSTOMER.FULL_NAME TEXT
DIM_CUSTOMER.MKT_EMAIL TEXT
DIM_CUSTOMER.IS_OPTIN_EMAIL BOOLEAN
DIM_CUSTOMER.OPTIN_EMAIL_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.ADDRESS_LINE_1 TEXT
DIM_CUSTOMER.ADDRESS_LINE_2 TEXT
DIM_CUSTOMER.CITY TEXT
DIM_CUSTOMER.STATE TEXT
DIM_CUSTOMER.ADDRESS_ZIP TEXT
DIM_CUSTOMER.PHONE_PRIMARY TEXT
DIM_CUSTOMER.IS_OPTIN_PHONE BOOLEAN
DIM_CUSTOMER.OPTIN_PHONE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.PHONE_SECONDARY TEXT
DIM_CUSTOMER.CIAM_INGEST_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.CREATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.UPDATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.COLLECTIONS_FLAG TEXT
DIM_CUSTOMER.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER.AUDT_USER_ID TEXT
DIM_CUSTOMER.AUDT_SRC_SYS_CODE TEXT
DIM_CUSTOMER.AUDT_BATCH_ID TEXT
DIM_CUSTOMER_MONTHLY_RATE.CUSTOMER_MONTHLY_RATE_ID TEXT
DIM_CUSTOMER_MONTHLY_RATE.DATE_MONTH TEXT
DIM_CUSTOMER_MONTHLY_RATE.CORP_ACCOUNT_SRC_NUM TEXT
DIM_CUSTOMER_MONTHLY_RATE.CLUB_SRC_NUM TEXT
DIM_CUSTOMER_MONTHLY_RATE.CUSTOMER_SRC_NUM TEXT
DIM_CUSTOMER_MONTHLY_RATE.TOTAL_CHECK_INS NUMBER
DIM_CUSTOMER_MONTHLY_RATE.FIRST_RATE FLOAT
DIM_CUSTOMER_MONTHLY_RATE.SECOND_RATE FLOAT
DIM_CUSTOMER_MONTHLY_RATE.THIRD_RATE FLOAT
DIM_CUSTOMER_MONTHLY_RATE.MONTHLY_RATE FLOAT
DIM_CUSTOMER_MONTHLY_RATE.RATE_ALLOCATION FLOAT
DIM_CUSTOMER_MONTHLY_RATE.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_MONTHLY_RATE.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_MONTHLY_RATE.AUDT_USER_ID TEXT
